DATE,FOREX,GO,FO CNY,FO,GO_FO spread
Apr-01-2015,6.13,664.5,3220,525.2854812,139.2145188
Apr-02-2015,6.13,651.75,3263,532.3001631,119.4498369
Apr-03-2015,6.13,651.75,3212,523.9804241,127.7695759
Apr-04-2015,6.13,651.75,3212,523.9804241,127.7695759
Apr-05-2015,6.13,651.75,3212,523.9804241,127.7695759
Apr-06-2015,6.13,665.25,3212,523.9804241,141.2695759
Apr-07-2015,6.12,655.5,3271,534.4771242,121.0228758
Apr-08-2015,6.13,650,3328,542.903752,107.096248
Apr-09-2015,6.13,654,3283,535.5628059,118.4371941
Apr-10-2015,6.13,659,3256,531.1582382,127.8417618
Apr-11-2015,6.13,659,3256,531.1582382,127.8417618
Apr-12-2015,6.14,659,3256,530.2931596,128.7068404
Apr-13-2015,6.14,659,3283,534.6905537,124.3094463
Apr-14-2015,6.15,661.25,3269,531.5447154,129.7052846
Apr-15-2015,6.15,662.75,3264,530.7317073,132.0182927
Apr-16-2015,6.14,669.5,3299,537.2964169,132.2035831
Apr-17-2015,6.13,671.75,3354,547.1451876,124.6048124
Apr-18-2015,6.13,671.75,3354,547.1451876,124.6048124
Apr-19-2015,6.13,671.75,3354,547.1451876,124.6048124
Apr-20-2015,6.13,669,3341,545.0244698,123.9755302
Apr-21-2015,6.13,668.75,3343,545.3507341,123.3992659
Apr-22-2015,6.13,672,3339,544.6982055,127.3017945
Apr-23-2015,6.13,679.5,3342,545.187602,134.312398
Apr-24-2015,6.14,679.5,3355,546.4169381,133.0830619
Apr-25-2015,6.14,679.5,3355,546.4169381,133.0830619
Apr-26-2015,6.14,679.5,3355,546.4169381,133.0830619
Apr-27-2015,6.13,676.5,3376,550.7340946,125.7659054
Apr-28-2015,6.14,674,3456,562.8664495,111.1335505
Apr-29-2015,6.14,680,3423,557.4918567,122.5081433
Apr-30-2015,6.14,678.5,3465,564.3322476,114.1677524
May-01-2015,6.14,676,3465,564.3322476,111.6677524
May-02-2015,6.14,676,3465,564.3322476,111.6677524
May-03-2015,6.14,676,3465,564.3322476,111.6677524
May-04-2015,6.13,680.5,3529,575.6933116,104.8066884
May-05-2015,6.13,688.5,3665,597.8792822,90.6207178
May-06-2015,6.13,687.5,3736,609.4616639,78.0383361
May-07-2015,6.13,679.75,3572,582.7079935,97.0420065
May-08-2015,6.13,678,3318,541.2724307,136.7275693
May-09-2015,6.13,678,3318,541.2724307,136.7275693
May-10-2015,6.13,678,3318,541.2724307,136.7275693
May-11-2015,6.12,673.75,3400,555.5555556,118.1944444
May-12-2015,6.12,683.75,3344,546.4052288,137.3447712
May-13-2015,6.12,685.5,3380,552.2875817,133.2124183
May-14-2015,6.12,685.75,3320,542.4836601,143.2663399
May-15-2015,6.12,682.75,3245,530.2287582,152.5212418
May-16-2015,6.12,682.75,3245,530.2287582,152.5212418
May-17-2015,6.12,682.75,3245,530.2287582,152.5212418
May-18-2015,6.12,682,3197,522.3856209,159.6143791
May-19-2015,6.11,674.25,3113,509.492635,164.757365
May-20-2015,6.11,672.5,3037,497.0540098,175.4459902
May-21-2015,6.12,680,3008,491.503268,188.496732
May-22-2015,6.12,673.75,2873,469.4444444,204.3055556
May-23-2015,6.12,673.75,2873,469.4444444,204.3055556
May-24-2015,6.12,673.75,2873,469.4444444,204.3055556
May-25-2015,6.12,678.75,2797,457.0261438,221.7238562
May-26-2015,6.12,666.5,2881,470.751634,195.748366
May-27-2015,6.12,663.25,3111,508.3333333,154.9166667
May-28-2015,6.12,661.5,3100,506.5359477,154.9640523
May-29-2015,6.12,672.25,3312,541.1764706,131.0735294
May-30-2015,6.12,672.25,3312,541.1764706,131.0735294
May-31-2015,6.12,672.25,3312,541.1764706,131.0735294
Jun-01-2015,6.12,671.25,3378,551.9607843,119.2892157
Jun-02-2015,6.12,675.75,3399,555.3921569,120.3578431
Jun-03-2015,6.12,671.25,3390,553.9215686,117.3284314
Jun-04-2015,6.12,661.75,3301,539.379085,122.370915
Jun-05-2015,6.12,662.25,3316,541.8300654,120.4199346
Jun-06-2015,6.12,662.25,3316,541.8300654,120.4199346
Jun-07-2015,6.12,662.25,3316,541.8300654,120.4199346
Jun-08-2015,6.12,666.5,3316,541.8300654,124.6699346
Jun-09-2015,6.12,676.75,3287,537.0915033,139.6584967
Jun-10-2015,6.12,679,3307,540.3594771,138.6405229
Jun-11-2015,6.12,677,3307,540.3594771,136.6405229
Jun-12-2015,6.12,672.5,3307,540.3594771,132.1405229
Jun-13-2015,6.12,672.5,3307,540.3594771,132.1405229
Jun-14-2015,6.12,672.5,3307,540.3594771,132.1405229
Jun-15-2015,6.12,669.5,3310,540.8496732,128.6503268
Jun-16-2015,6.12,670.25,3274,534.9673203,135.2826797
Jun-17-2015,6.12,674.25,3279,535.7843137,138.4656863
Jun-18-2015,6.12,677,3197,522.3856209,154.6143791
Jun-19-2015,6.12,665.75,3222,526.4705882,139.2794118
Jun-20-2015,6.12,665.75,3222,526.4705882,139.2794118
Jun-21-2015,6.12,665.75,3222,526.4705882,139.2794118
Jun-22-2015,6.12,668.5,3222,526.4705882,142.0294118
Jun-23-2015,6.12,676.75,3133,511.9281046,164.8218954
Jun-24-2015,6.12,675.25,3147,514.2156863,161.0343137
Jun-25-2015,6.12,665.75,3056,499.3464052,166.4035948
Jun-26-2015,6.12,668.75,2946,481.372549,187.377451
Jun-27-2015,6.12,668.75,2946,481.372549,187.377451
Jun-28-2015,6.12,668.75,2946,481.372549,187.377451
Jun-29-2015,6.1,663.75,2910,477.0491803,186.7008197
Jun-30-2015,6.1,668.25,2910,477.0491803,191.2008197
Jul-01-2015,6.1,663.25,2813,461.147541,202.102459
Jul-02-2015,6.1,666.5,2790,457.3770492,209.1229508
Jul-03-2015,6.09,652.5,2730,448.2758621,204.2241379
Jul-04-2015,6.09,652.5,2730,448.2758621,204.2241379
Jul-05-2015,6.08,652.5,2730,449.0131579,203.4868421
Jul-06-2015,6.08,638.25,2621,431.0855263,207.1644737
Jul-07-2015,6.08,622.75,2627,432.0723684,190.6776316
Jul-08-2015,6.09,629,2519,413.6288998,215.3711002
Jul-09-2015,6.09,639.75,2494,409.5238095,230.2261905
Jul-10-2015,6.09,639.75,2524,414.4499179,225.3000821
Jul-11-2015,6.09,639.75,2524,414.4499179,225.3000821
Jul-12-2015,6.1,639.75,2524,413.7704918,225.9795082
Jul-13-2015,6.1,645.5,2489,408.0327869,237.4672131
Jul-14-2015,6.1,642,2453,402.1311475,239.8688525
Jul-15-2015,6.09,638.75,2453,402.7914614,235.9585386
Jul-16-2015,6.09,637.25,2490,408.8669951,228.3830049
Jul-17-2015,6.09,630,2517,413.3004926,216.6995074
Jul-18-2015,6.09,630,2517,413.3004926,216.6995074
Jul-19-2015,6.09,630,2517,413.3004926,216.6995074
Jul-20-2015,6.09,628.25,2440,400.6568144,227.5931856
Jul-21-2015,6.09,632,2393,392.9392447,239.0607553
Jul-22-2015,6.09,634.25,2351,386.0426929,248.2073071
Jul-23-2015,6.09,630.25,2311,379.4745484,250.7754516
Jul-24-2015,6.09,621,2259,370.9359606,250.0640394
Jul-25-2015,6.09,621,2259,370.9359606,250.0640394
Jul-26-2015,6.09,621,2259,370.9359606,250.0640394
Jul-27-2015,6.09,617.75,2242,368.1444992,249.6055008
Jul-28-2015,6.09,621.5,2245,368.63711,252.86289
Jul-29-2015,6.09,623.25,2259,370.9359606,252.3140394
Jul-30-2015,6.09,620.5,2241,367.9802956,252.5197044
Jul-31-2015,6.09,616,2197,360.7553366,255.2446634
Aug-01-2015,6.09,616,2197,360.7553366,255.2446634
Aug-02-2015,6.09,616,2197,360.7553366,255.2446634
Aug-03-2015,6.09,602,2130,349.7536946,252.2463054
Aug-04-2015,6.08,601.25,2097,344.9013158,256.3486842
Aug-05-2015,6.06,600.5,2111,348.349835,252.150165
Aug-06-2015,6.07,594.25,2091,344.4810544,249.7689456
Aug-07-2015,6.07,595.75,2137,352.0593081,243.6906919
Aug-08-2015,6.07,595.75,2137,352.0593081,243.6906919
Aug-09-2015,6.07,595.75,2137,352.0593081,243.6906919
Aug-10-2015,6.07,599.75,2150,354.2009885,245.5490115
Aug-11-2015,6.07,594,2199,362.2734761,231.7265239
Aug-12-2015,6.07,598,2230,367.3805601,230.6194399
Aug-13-2015,6.07,598.75,2239,368.8632619,229.8867381
Aug-14-2015,6.07,598.25,2239,368.8632619,229.3867381
Aug-15-2015,6.07,598.25,2239,368.8632619,229.3867381
Aug-16-2015,6.07,598.25,2239,368.8632619,229.3867381
Aug-17-2015,6.07,600,2154,354.8599671,245.1400329
Aug-18-2015,6.07,596.25,2113,348.1054366,248.1445634
Aug-19-2015,6.06,587,2064,340.5940594,246.4059406
Aug-20-2015,6.05,585.5,2041,337.3553719,248.1446281
Aug-21-2015,6.05,568,2007,331.7355372,236.2644628
Aug-22-2015,6.05,568,2007,331.7355372,236.2644628
Aug-23-2015,6.05,568,2007,331.7355372,236.2644628
Aug-24-2015,6.05,555.25,1919,317.1900826,238.0599174
Aug-25-2015,6.05,557.25,1826,301.8181818,255.4318182
Aug-26-2015,6.05,556.5,1759,290.7438017,265.7561983
Aug-27-2015,6.05,571,1759,290.7438017,280.2561983
Aug-28-2015,6.04,598.75,1759,291.2251656,307.5248344
Aug-29-2015,6.04,598.75,1759,291.2251656,307.5248344
Aug-30-2015,6.05,598.75,1759,290.7438017,308.0061983
Aug-31-2015,6.06,603.25,1918,316.5016502,286.7483498
Sep-01-2015,6.05,597.5,1992,329.2561983,268.2438017
Sep-02-2015,6.05,586.25,1975,326.446281,259.803719
Sep-03-2015,6.05,603,1975,326.446281,276.553719
Sep-04-2015,6.05,591,1975,326.446281,264.553719
Sep-05-2015,6.05,591,1975,326.446281,264.553719
Sep-06-2015,6.05,591,1975,326.446281,264.553719
Sep-07-2015,6.05,579.5,1987,328.4297521,251.0702479
Sep-08-2015,6.06,591,2055,339.1089109,251.8910891
Sep-09-2015,6.06,587.25,2117,349.339934,237.910066
Sep-10-2015,6.06,587.25,2169,357.9207921,229.3292079
Sep-11-2015,6.06,586.75,2172,358.4158416,228.3341584
Sep-12-2015,6.06,586.75,2172,358.4158416,228.3341584
Sep-13-2015,6.06,586.75,2172,358.4158416,228.3341584
Sep-14-2015,6.06,579,2098,346.2046205,232.7953795
Sep-15-2015,6.06,576.25,2158,356.1056106,220.1443894
Sep-16-2015,6.06,589,2085,344.0594059,244.9405941
Sep-17-2015,6.06,581.25,2101,346.69967,234.55033
Sep-18-2015,6.06,575.5,2120,349.8349835,225.6650165
Sep-19-2015,6.06,575.5,2120,349.8349835,225.6650165
Sep-20-2015,6.07,575.5,2120,349.2586491,226.2413509
Sep-21-2015,6.07,580.75,2125,350.0823723,230.6676277
Sep-22-2015,6.08,578.75,2196,361.1842105,217.5657895
Sep-23-2015,6.08,584.75,2225,365.9539474,218.7960526
Sep-24-2015,6.09,578,2209,362.72578,215.27422
Sep-25-2015,6.1,577.75,2276,373.1147541,204.6352459
Sep-26-2015,6.12,577.75,2276,371.8954248,205.8545752
Sep-27-2015,6.12,577.75,2276,371.8954248,205.8545752
Sep-28-2015,6.13,570.75,2389,389.7226754,181.0273246
Sep-29-2015,6.14,574.75,2508,408.4690554,166.2809446
Sep-30-2015,6.15,574.5,2280,370.7317073,203.7682927
Oct-01-2015,6.14,574,2280,371.3355049,202.6644951
Oct-02-2015,6.13,563.25,2280,371.9412724,191.3087276
Oct-03-2015,6.12,563.25,2280,372.5490196,190.7009804
Oct-04-2015,6.13,563.25,2280,371.9412724,191.3087276
Oct-05-2015,6.14,580.5,2280,371.3355049,209.1644951
Oct-06-2015,6.14,589.5,2280,371.3355049,218.1644951
Oct-07-2015,6.14,590.25,2280,371.3355049,218.9144951
Oct-08-2015,6.14,592.5,2390,389.2508143,203.2491857
Oct-09-2015,6.15,590,2447,397.8861789,192.1138211
Oct-10-2015,6.18,590,2447,395.9546926,194.0453074
Oct-11-2015,6.19,590,2447,395.3150242,194.6849758
Oct-12-2015,6.19,587.5,2379,384.3295638,203.1704362
Oct-13-2015,6.23,580.75,2379,381.8619583,198.8880417
Oct-14-2015,6.22,576,2379,382.4758842,193.5241158
Oct-15-2015,6.2,572.25,2437,393.0645161,179.1854839
Oct-16-2015,6.2,577.75,2437,393.0645161,184.6854839
Oct-17-2015,6.21,577.75,2437,392.431562,185.318438
Oct-18-2015,6.21,577.75,2437,392.431562,185.318438
Oct-19-2015,6.21,571.75,2394,385.5072464,186.2427536
Oct-20-2015,6.22,572,2394,384.8874598,187.1125402
Oct-21-2015,6.21,572.25,2394,385.5072464,186.7427536
Oct-22-2015,6.21,571.25,2280,367.1497585,204.1002415
Oct-23-2015,6.21,572.5,2280,367.1497585,205.3502415
Oct-24-2015,6.21,572.5,2280,367.1497585,205.3502415
Oct-25-2015,6.21,572.5,2280,367.1497585,205.3502415
Oct-26-2015,6.2,573,2438,393.2258065,179.7741935
Oct-27-2015,6.2,565.25,2438,393.2258065,172.0241935
Oct-28-2015,6.21,578.5,2439,392.7536232,185.7463768
Oct-29-2015,6.21,577,2438,392.5925926,184.4074074
Oct-30-2015,6.22,578,2438,391.9614148,186.0385852
Oct-31-2015,6.22,578,2438,391.9614148,186.0385852
Nov-01-2015,6.22,578,2438,391.9614148,186.0385852
Nov-02-2015,6.22,576.5,2438,391.9614148,184.5385852
Nov-03-2015,6.22,582.5,2438,391.9614148,190.5385852
Nov-04-2015,6.23,575.5,2438,391.3322632,184.1677368
Nov-05-2015,6.24,575,2438,390.7051282,184.2948718
Nov-06-2015,6.24,570.25,2438,390.7051282,179.5448718
Nov-07-2015,6.25,570.25,2438,390.08,180.17
Nov-08-2015,6.25,570.25,2438,390.08,180.17
Nov-09-2015,6.25,568.5,2438,390.08,178.42
Nov-10-2015,6.26,570,2438,389.456869,180.543131
Nov-11-2015,6.26,562.25,2438,389.456869,172.793131
Nov-12-2015,6.26,556,2438,389.456869,166.543131
Nov-13-2015,6.26,556.25,2438,389.456869,166.793131
Nov-14-2015,6.25,556.25,2438,390.08,166.17
Nov-15-2015,6.23,556.25,2438,391.3322632,164.9177368
Nov-16-2015,6.23,551,2331,374.1573034,176.8426966
Nov-17-2015,6.23,553.75,2331,374.1573034,179.5926966
Nov-18-2015,6.23,551,2331,374.1573034,176.8426966
Nov-19-2015,6.24,550,2331,373.5576923,176.4423077
Nov-20-2015,6.23,547,2272,364.6869984,182.3130016
Nov-21-2015,6.23,547,2272,364.6869984,182.3130016
Nov-22-2015,6.23,547,2272,364.6869984,182.3130016
Nov-23-2015,6.23,553.25,2272,364.6869984,188.5630016
Nov-24-2015,6.24,558.5,2272,364.1025641,194.3974359
Nov-25-2015,6.24,556,2272,364.1025641,191.8974359
Nov-26-2015,6.23,553.75,2272,364.6869984,189.0630016
Nov-27-2015,6.23,551,2272,364.6869984,186.3130016
Nov-28-2015,6.24,551,2272,364.1025641,186.8974359
Nov-29-2015,6.25,551,2272,363.52,187.48
Nov-30-2015,6.25,550.25,2392,382.72,167.53
Dec-01-2015,6.24,541.25,2436,390.3846154,150.8653846
Dec-02-2015,6.25,541.25,2492,398.72,142.53
Dec-03-2015,6.25,543.25,2369,379.04,164.21
Dec-04-2015,6.25,543.75,2454,392.64,151.11
Dec-05-2015,6.25,543.75,2454,392.64,151.11
Dec-06-2015,6.25,543.75,2454,392.64,151.11
Dec-07-2015,6.25,533.75,2458,393.28,140.47
Dec-08-2015,6.24,532,2442,391.3461538,140.6538462
Dec-09-2015,6.22,528.25,2476,398.0707395,130.1792605
Dec-10-2015,6.23,526.5,2477,397.5922953,128.9077047
Dec-11-2015,6.22,522.75,2454,394.5337621,128.2162379
Dec-12-2015,6.21,522.75,2454,395.1690821,127.5809179
Dec-13-2015,6.23,522.75,2454,393.9004815,128.8495185
Dec-14-2015,6.23,517.5,2466,395.8266453,121.6733547
Dec-15-2015,6.23,520.5,2345,376.4044944,144.0955056
Dec-16-2015,6.23,513,2377,381.540931,131.459069
Dec-17-2015,6.22,511.5,2427,390.192926,121.307074
Dec-18-2015,6.23,514.25,2487,399.1974318,115.0525682
Dec-19-2015,6.23,514.25,2487,399.1974318,115.0525682
Dec-20-2015,6.23,514.25,2487,399.1974318,115.0525682
Dec-21-2015,6.22,503.5,2487,399.8392283,103.6607717
Dec-22-2015,6.22,505.75,2523,405.6270096,100.1229904
Dec-23-2015,6.2,504,2507,404.3548387,99.6451613
Dec-24-2015,6.2,509,2578,415.8064516,93.1935484
Dec-25-2015,6.21,509,2578,415.136876,93.863124
Dec-26-2015,6.21,509,2578,415.136876,93.863124
Dec-27-2015,6.2,509,2578,415.8064516,93.1935484
Dec-28-2015,6.2,505,2594,418.3870968,86.6129032
Dec-29-2015,6.2,508.75,2528,407.7419355,101.0080645
Dec-30-2015,6.2,503.5,2577,415.6451613,87.8548387
Dec-31-2015,6.2,501,2530,408.0645161,92.9354839
Jan-01-2016,6.21,501,2530,407.4074074,93.5925926
Jan-02-2016,6.21,501,2530,407.4074074,93.5925926
Jan-03-2016,6.2,501,2530,408.0645161,92.9354839
Jan-04-2016,6.2,503.25,2576,415.483871,87.766129
Jan-05-2016,6.21,500.5,2512,404.5088567,95.9911433
Jan-06-2016,6.21,490.75,2547,410.1449275,80.6050725
Jan-07-2016,6.2,490.5,2545,410.483871,80.016129
Jan-08-2016,6.2,475.75,2452,395.483871,80.266129
Jan-09-2016,6.19,475.75,2452,396.1227787,79.6272213
Jan-10-2016,6.19,475.75,2452,396.1227787,79.6272213
Jan-11-2016,6.19,469,2543,410.8239095,58.1760905
Jan-12-2016,6.18,460,2558,413.9158576,46.0841424
Jan-13-2016,6.17,450.5,2504,405.834684,44.665316
Jan-14-2016,6.17,446.25,2532,410.3727715,35.8772285
Jan-15-2016,6.18,439.75,2483,401.7799353,37.9700647
Jan-16-2016,6.18,439.75,2483,401.7799353,37.9700647
Jan-17-2016,6.17,439.75,2483,402.4311183,37.3188817
Jan-18-2016,6.16,430.5,2499,405.6818182,24.8181818
Jan-19-2016,6.16,425.75,2499,405.6818182,20.0681818
Jan-20-2016,6.16,408.25,2559,415.4220779,-7.1720779
Jan-21-2016,6.15,415.25,2539,412.8455285,2.4044715
Jan-22-2016,6.16,433.5,2503,406.3311688,27.1688312
Jan-23-2016,6.15,433.5,2503,406.9918699,26.5081301
Jan-24-2016,6.16,433.5,2503,406.3311688,27.1688312
Jan-25-2016,6.15,433.75,2551,414.796748,18.953252
Jan-26-2016,6.14,439.75,2564,417.5895765,22.1604235
Jan-27-2016,6.14,446.5,2556,416.286645,30.213355
Jan-28-2016,6.14,455.25,2543,414.1693811,41.0806189
Jan-29-2016,6.15,458.25,2571,418.0487805,40.2012195
Jan-30-2016,6.15,458.25,2571,418.0487805,40.2012195
Jan-31-2016,6.15,458.25,2571,418.0487805,40.2012195
Feb-01-2016,6.15,457.25,2574,418.5365854,38.7134146
Feb-02-2016,6.14,449.25,2574,419.218241,30.031759
Feb-03-2016,6.14,452,2564,417.5895765,34.4104235
Feb-04-2016,6.14,458,2564,417.5895765,40.4104235
Feb-05-2016,6.15,460.5,2597,422.2764228,38.2235772
Feb-06-2016,6.14,460.5,2597,422.9641694,37.5358306
Feb-07-2016,6.14,460.5,2597,422.9641694,37.5358306
Feb-08-2016,6.14,454.25,2597,422.9641694,31.2858306
Feb-09-2016,6.14,444.5,2597,422.9641694,21.5358306
Feb-10-2016,6.14,434.5,2597,422.9641694,11.5358306
Feb-11-2016,6.13,435.75,2597,423.6541599,12.0958401
Feb-12-2016,6.13,453.5,2597,423.6541599,29.8458401
Feb-13-2016,6.13,453.5,2597,423.6541599,29.8458401
Feb-14-2016,6.14,453.5,2597,422.9641694,30.5358306
Feb-15-2016,6.15,456.75,2534,412.0325203,44.7174797
Feb-16-2016,6.14,446.75,2597,422.9641694,23.7858306
Feb-17-2016,6.14,462.5,2520,410.4234528,52.0765472
Feb-18-2016,6.14,460.5,2596,422.8013029,37.6986971
Feb-19-2016,6.14,452.5,2500,407.1661238,45.3338762
Feb-20-2016,6.14,452.5,2500,407.1661238,45.3338762
Feb-21-2016,6.13,452.5,2500,407.8303426,44.6696574
Feb-22-2016,6.14,461.25,2379,387.4592834,73.7907166
Feb-23-2016,6.13,449.5,2497,407.3409462,42.1590538
Feb-24-2016,6.15,447.75,2497,406.0162602,41.7337398
Feb-25-2016,6.14,449,2497,406.6775244,42.3224756
Feb-26-2016,6.14,461,2497,406.6775244,54.3224756
Feb-27-2016,6.14,461,2497,406.6775244,54.3224756
Feb-28-2016,6.14,461,2497,406.6775244,54.3224756
Feb-29-2016,6.14,459.25,2366,385.3420195,73.9079805
Mar-01-2016,6.14,458.75,2249,366.286645,92.463355
Mar-02-2016,6.14,459.75,2361,384.5276873,75.2223127
Mar-03-2016,6.13,456,2244,366.0685155,89.9314845
Mar-04-2016,6.13,460,2247,366.5579119,93.4420881
Mar-05-2016,6.13,460,2247,366.5579119,93.4420881
Mar-06-2016,6.12,460,2247,367.1568627,92.8431373
Mar-07-2016,6.12,468.75,2151,351.4705882,117.2794118
Mar-08-2016,6.12,472.75,2117,345.9150327,126.8349673
Mar-09-2016,6.12,475.25,2117,345.9150327,129.3349673
Mar-10-2016,6.12,469.25,2117,345.9150327,123.3349673
Mar-11-2016,6.12,474,2013,328.9215686,145.0784314
Mar-12-2016,6.12,474,2013,328.9215686,145.0784314
Mar-13-2016,6.12,474,2013,328.9215686,145.0784314
Mar-14-2016,6.12,468.75,2113,345.2614379,123.4885621
Mar-15-2016,6.11,465.25,2218,363.0114566,102.2385434
Mar-16-2016,6.11,473.5,2110,345.3355155,128.1644845
Mar-17-2016,6.11,478.5,2215,362.5204583,115.9795417
Mar-18-2016,6.11,477,2110,345.3355155,131.6644845
Mar-19-2016,6.12,477,2110,344.7712418,132.2287582
Mar-20-2016,6.12,477,2110,344.7712418,132.2287582
Mar-21-2016,6.11,479.25,2110,345.3355155,133.9144845
Mar-22-2016,6.11,483.25,2215,362.5204583,120.7295417
Mar-23-2016,6.12,480,2059,336.4379085,143.5620915
Mar-24-2016,6.12,477,2161,353.1045752,123.8954248
Mar-25-2016,6.13,477,2269,370.1468189,106.8531811
Mar-26-2016,6.12,477,2269,370.751634,106.248366
Mar-27-2016,6.13,477,2269,370.1468189,106.8531811
Mar-28-2016,6.12,474.5,2180,356.2091503,118.2908497
Mar-29-2016,6.12,467.5,2289,374.0196078,93.4803922
Mar-30-2016,6.12,476.5,2263,369.7712418,106.7287582
Mar-31-2016,6.12,480.5,2350,383.9869281,96.5130719
Apr-01-2016,6.12,466,2395,391.3398693,74.6601307
Apr-02-2016,6.14,466,2395,390.0651466,75.9348534
Apr-03-2016,6.14,466,2395,390.0651466,75.9348534
Apr-04-2016,6.14,460.75,2395,390.0651466,70.6848534
Apr-05-2016,6.14,453.75,2461,400.8143322,52.9356678
Apr-06-2016,6.15,458.5,2461,400.1626016,58.3373984
Apr-07-2016,6.15,453.75,2461,400.1626016,53.5873984
Apr-08-2016,6.15,470.5,2430,395.1219512,75.3780488
Apr-09-2016,6.15,470.5,2430,395.1219512,75.3780488
Apr-10-2016,6.15,470.5,2430,395.1219512,75.3780488
